,pair,clean,raw,name_type
5162,"[[Jackson County, Missouri|Jackson County^, Mo^]]","Jackson County, Missouri","Jackson County^, Mo^",place
5167,"[[Rush Valley, Tooele County, Utah Territory|Rush valley]]","Rush Valley, Tooele County, Utah Territory",Rush valley,place
5179,"[[Provo, Utah County, Utah Territory|Provo]] at 8 oclock A.M. President [[Brigham Young|B Young]]","Provo, Utah County, Utah Territory",Provo]] at 8 oclock A.M. President [[Brigham You,place
5192,"[[Provo, Utah County, Utah Territory|Provo County]]","Provo, Utah County, Utah Territory",Provo County,place
5200,"[[Salt Lake City Temple, Salt Lake City, Salt Lake County, Utah Territory|Temple]]","Salt Lake City Temple, Salt Lake City, Salt Lake County, Utah Territory",Temple,place
5223,"[[Kirtland, Geauga County, Ohio|Kirtland]]","Kirtland, Geauga County, Ohio",Kirtland,place
5224,"[[John Taylor, b. 1808|J Taylor]]","John Taylor, b. 1808",J Taylor,place
5269,"[[Camp Floyd, Fairfield, Utah County, Utah Territory|camp Floyd]]","Camp Floyd, Fairfield, Utah County, Utah Territory",camp Floyd,place
5280,"[[Nauvoo, Hancock County, Illinois|Nauvoo]]","Nauvoo, Hancock County, Illinois",Nauvoo,place
5284,"[[John Taylor, b. 1808|John Taylor]] and [[Lorenzo Snow|Lorenzo Snow]]","John Taylor, b. 1808",John Taylor]] and [[Lorenzo Sn,place
5323,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
5325,"[[John Taylor, b. 1808|J Taylor]] [[Joseph Horne|J Horn]]","John Taylor, b. 1808",J Taylor]] [[Joseph Hor,place
5333,"[[Rush Valley, Tooele County, Utah Territory|Rush Valley]] with [[Ormus Ephraim Bates|Ormus Bates]]","Rush Valley, Tooele County, Utah Territory",Rush Valley]] with [[Ormus Ephraim Bat,place
5342,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
5351,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
5369,"[[Fillmore, Millard County, Utah Territory|Fillmore]]","Fillmore, Millard County, Utah Territory",Fillmore,place
5374,"[[Rush Valley, Tooele County, Utah Territory|Rush valley]]","Rush Valley, Tooele County, Utah Territory",Rush valley,place
5376,"[[Shambip County, Utah Territory|Shambip County]] with [[Tooele County, Utah Territory|Toille]]","Shambip County, Utah Territory","Shambip County]] with [[Tooele County, Utah Territo",place
5377,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
5380,"[[Fillmore, Millard County, Utah Territory|Filmore]]","Fillmore, Millard County, Utah Territory",Filmore,place
5381,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
5390,"[[John Taylor, b. 1808|J. Taylor]]","John Taylor, b. 1808",J. Taylor,place
5394,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
5418,"[[New York City, New York County, New York|New York]]","New York City, New York County, New York",New York,place
5443,"[[Deer Creek, unorganized U.S. Territory|Deer creek]]","Deer Creek, unorganized U.S. Territory",Deer creek,place
5447,"[[Washington, D.C., United States|washington]]","Washington, D.C., United States",washington,place
5451,"[[Box Elder County, Utah Territory|Box Elder]] instead of [[Alfred Cordon|Cordon]]","Box Elder County, Utah Territory",Box Elder]] instead of [[Alfred Cord,place
5458,"[[Provo, Utah County, Utah Territory|provo]]","Provo, Utah County, Utah Territory",provo,place
5488,"[[Manti, Sanpete County, Utah Territory|Manti]]","Manti, Sanpete County, Utah Territory",Manti,place
5491,"[[Springville, Utah County, Utah Territory|Springville]]","Springville, Utah County, Utah Territory",Springville,place
5494,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
5497,"[[Virgin River, United States|Rio Vergin]]","Virgin River, United States",Rio Vergin,place
5498,"[[Colorado River, United States|Colorado]]","Colorado River, United States",Colorado,place
5509,"[[Fillmore, Millard County, Utah Territory|Filmore]]","Fillmore, Millard County, Utah Territory",Filmore,place
5510,"[[Sevier River, Utah Territory|Severe]]","Sevier River, Utah Territory",Severe,place
5511,"[[Nephi, Juab County, Utah Territory|Nephi]]","Nephi, Juab County, Utah Territory",Nephi,place
5515,"[[Fort Ephraim, Sanpete County, Utah Territory|Fort Ephraim]]","Fort Ephraim, Sanpete County, Utah Territory",Fort Ephraim,place
5521,"[[Fillmore, Millard County, Utah Territory|Fillmore]]","Fillmore, Millard County, Utah Territory",Fillmore,place
5522,"[[Lake City, Utah County, Utah Territory|Lake City]]","Lake City, Utah County, Utah Territory",Lake City,place
5524,"[[Payson, Utah County, Utah Territory|Pason]]","Payson, Utah County, Utah Territory",Pason,place
5529,"[[Salt Creek, Grand County, Utah Territory|Salt Creek]]","Salt Creek, Grand County, Utah Territory",Salt Creek,place
5531,"[[Sevier River, Utah Territory|severe]]","Sevier River, Utah Territory",severe,place
5532,"[[Cedar Fort, Iron County, Utah Territory|Cedar Fort]]","Cedar Fort, Iron County, Utah Territory",Cedar Fort,place
5533,"[[Fillmore, Millard County, Utah Territory|Filmore]]","Fillmore, Millard County, Utah Territory",Filmore,place
5535,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
5540,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
5546,"[[Los Angeles, Los Angeles County, California|Los Angelos]]","Los Angeles, Los Angeles County, California",Los Angelos,place
5547,"[[San Bernardino, San Bernardino County, California|Sanbernadeno]]","San Bernardino, San Bernardino County, California",Sanbernadeno,place
5549,"[[Fox Islands, Knox County, Maine|Fox Islands]]","Fox Islands, Knox County, Maine",Fox Islands,place
5552,"[[Carthage, Hancock County, Illinois|Carthage]]","Carthage, Hancock County, Illinois",Carthage,place
5559,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
5563,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
5567,"[[Fillmore, Millard County, Utah Territory|Fillmore]]","Fillmore, Millard County, Utah Territory",Fillmore,place
5569,"[[Fort Leavenworth, Leavenworth County, Kansas Territory|Levensworth]]","Fort Leavenworth, Leavenworth County, Kansas Territory",Levensworth,place
5571,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
5572,"[[Johnsons Settlement, Tooele County, Utah Territory|Johnsons Fort]] in [[Rush Valley, Tooele County, Utah Territory|Rush Valley Shambip County]]","Johnsons Settlement, Tooele County, Utah Territory","Johnsons Fort]] in [[Rush Valley, Tooele County, Utah Territo",place
5573,"[[Point of the Mountain, Utah Territory|point of Mountain]]","Point of the Mountain, Utah Territory",point of Mountain,place
5574,"[[Point of the Mountain, Utah Territory|Point of Mountain]] to [[Black Rock, Tooele County, Utah Territory|Black Rock]]","Point of the Mountain, Utah Territory","Point of Mountain]] to [[Black Rock, Tooele County, Utah Territo",place
5575,"[[Black Rock, Tooele County, Utah Territory|Black Rock]] to [[E. T. City, Tooele County, Utah Territory|E. T. City]]","Black Rock, Tooele County, Utah Territory","Black Rock]] to [[E. T. City, Tooele County, Utah Territo",place
5576,"[[E. T. City, Tooele County, Utah Territory|E T City]] to [[Benson Grist Mill, Tooele County, Utah Territory|Benson's Mills]]","E. T. City, Tooele County, Utah Territory","E T City]] to [[Benson Grist Mill, Tooele County, Utah Territo",place
5577,"[[Benson Grist Mill, Tooele County, Utah Territory|Bensons Mills]] to [[Ormus Ephraim Bates|Ormus Bates]]","Benson Grist Mill, Tooele County, Utah Territory",Bensons Mills]] to [[Ormus Ephraim Bat,place
5579,"[[Tooele, Tooele County, Utah Territory|Toille City]] to [[Old Barracks, Camp Rush Valley, Tooele County, Utah Territory|Old Barracks]]","Tooele, Tooele County, Utah Territory","Toille City]] to [[Old Barracks, Camp Rush Valley, Tooele County, Utah Territo",place
5580,"[[Old Barracks, Camp Rush Valley, Tooele County, Utah Territory|Old Barracks]] to [[Johnsons Settlement, Tooele County, Utah Territory|Johnsons Fort]]","Old Barracks, Camp Rush Valley, Tooele County, Utah Territory","Old Barracks]] to [[Johnsons Settlement, Tooele County, Utah Territo",place
5581,"[[Benson Grist Mill, Tooele County, Utah Territory|Bensons Mills]] to [[Grantsville, Tooele County, Utah Territory|Grantsville]]","Benson Grist Mill, Tooele County, Utah Territory","Bensons Mills]] to [[Grantsville, Tooele County, Utah Territo",place
5586,"[[Fillmore, Millard County, Utah Territory|Fillmore]]","Fillmore, Millard County, Utah Territory",Fillmore,place
5592,"[[Farmington, Davis County, Utah Territory|Farmington]]","Farmington, Davis County, Utah Territory",Farmington,place
5610,"[[Temple Square, Great Salt Lake City, Great Salt Lake County, Utah Territory|Temple Block]] in [[Great Salt Lake City, Great Salt Lake County, Utah Territory|great Salt Lake City]] to [[Luke Johnson|Johnsons]]","Temple Square, Great Salt Lake City, Great Salt Lake County, Utah Territory","Temple Block]] in [[Great Salt Lake City, Great Salt Lake County, Utah Territo",place
5611,"[[Rush Valley, Tooele County, Utah Territory|Rush valley]]","Rush Valley, Tooele County, Utah Territory",Rush valley,place
5616,"[[Jordan River, Utah Territory|river]]","Jordan River, Utah Territory",river,place
5623,"[[John Taylor, b. 1808|John Taylor]] and a croud of Friends soon Judge [[Charles Sinclair|Sinclair]]","John Taylor, b. 1808",John Taylor]] and a croud of Friends soon Judge [[Charles Sincla,place
5629,"[[Rush Valley, Tooele County, Utah Territory|Rush valley]]","Rush Valley, Tooele County, Utah Territory",Rush valley,place
5631,"[[Jordan River, Utah Territory|Jordon River]]","Jordan River, Utah Territory",Jordon River,place
5679,"[[John Taylor, b. 1808|John Taylor]], [[Ezra Taft Benson|E. T. Benson]] & [[Erastus Snow|Erastus Snow]]","John Taylor, b. 1808","John Taylor]], [[Ezra Taft Bens",place
5686,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
5690,"[[Dixon, Lee County, Illinois|Dixon]]","Dixon, Lee County, Illinois",Dixon,place
5718,"[[St. Louis, St. Louis County, Missouri|St Louis]]","St. Louis, St. Louis County, Missouri",St Louis,place
5722,"[[Fillmore, Millard County, Utah Territory|Fillmore]]","Fillmore, Millard County, Utah Territory",Fillmore,place
5724,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
5735,"[[Iron County, Utah Territory|Iron County]]","Iron County, Utah Territory",Iron County,place
5741,"[[Parowan, Iron County, Utah Territory|Parowan]]","Parowan, Iron County, Utah Territory",Parowan,place
5745,"[[New Orleans, Louisiana|New Orleans]]","New Orleans, Louisiana",New Orleans,place
5750,"[[Big Cottonwood Canyon, Utah Territory|Cottonwood]]","Big Cottonwood Canyon, Utah Territory",Cottonwood,place
5764,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
5768,"[[Fillmore, Millard County, Utah Territory|Filmore]]","Fillmore, Millard County, Utah Territory",Filmore,place
5778,"[[Farmington, Davis County, Utah Territory|Farmington]]","Farmington, Davis County, Utah Territory",Farmington,place
5782,"[[Willow Creek, Grand and Uintah Counties, Utah Territory|Willow Creek]]","Willow Creek, Grand and Uintah Counties, Utah Territory",Willow Creek,place
5794,"[[Green River, Sweetwater County, Wyoming Territory|Green river]]","Green River, Sweetwater County, Wyoming Territory",Green river,place
5798,"[[Sanpete County, Utah Territory|Sanpete]] with word from [[Chief Arrowpene|Arrowpeen]]","Sanpete County, Utah Territory",Sanpete]] with word from [[Chief Arrowpe,place
5803,"[[Fort Bridger, unorganized U.S. Territory|Bridger]] a part at [[Cedar County, Utah Territory|Cedar valley]]","Fort Bridger, unorganized U.S. Territory","Bridger]] a part at [[Cedar County, Utah Territo",place
5818,"[[Green River, Sweetwater County, Wyoming Territory|Green River]]","Green River, Sweetwater County, Wyoming Territory",Green River,place
5823,"[[Provo, Utah County, Utah Territory|provo]]","Provo, Utah County, Utah Territory",provo,place
5825,"[[Provo, Utah County, Utah Territory|Provo]]","Provo, Utah County, Utah Territory",Provo,place
5826,"[[Lehi, Utah County, Utah Territory|Lehi]]","Lehi, Utah County, Utah Territory",Lehi,place
5845,"[[Fillmore, Millard County, Utah Territory|Filmore]]","Fillmore, Millard County, Utah Territory",Filmore,place
5849,"[[Provo, Utah County, Utah Territory|provo]]","Provo, Utah County, Utah Territory",provo,place
5850,"[[Provo, Utah County, Utah Territory|Provo]] and spent the night at [[Andrew Jackson Stewart|A J Stewarts]]","Provo, Utah County, Utah Territory",Provo]] and spent the night at [[Andrew Jackson Stewa,place
5880,"[[Rush Valley, Tooele County, Utah Territory|Rush valley]]","Rush Valley, Tooele County, Utah Territory",Rush valley,place
5883,"[[Fort Herriman, Great Salt Lake County, Utah Territory|Fort Harriman]]","Fort Herriman, Great Salt Lake County, Utah Territory",Fort Harriman,place
5887,"[[Jordan River, Utah Territory|Jordon]]","Jordan River, Utah Territory",Jordon,place
5890,"[[Jordan River, Utah Territory|Jordon]]","Jordan River, Utah Territory",Jordon,place
5894,"[[Great Salt Lake CIty, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake CIty, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
5895,"[[Ozem Thompson Woodruff, b. 1804|Ozem T. Woodruff]] & one to Sister [[Shuah Coffin Carter Moulton|Shuah Moulton]]","Ozem Thompson Woodruff, b. 1804",Ozem T. Woodruff]] & one to Sister [[Shuah Coffin Carter Moult,place
5898,"[[Ezra Carter, b. 1773|Ezra Carter]]","Ezra Carter, b. 1773",Ezra Carter,place
5906,"[[Philadelphia, Philadelphia County, Pennsylvania|Philadelphia]]","Philadelphia, Philadelphia County, Pennsylvania",Philadelphia,place
5914,"[[Washington, D.C., United States|washington]]","Washington, D.C., United States",washington,place
5916,"[[Big Cottonwood Canyon, Utah Territory|big Cotton wood Canyon]]","Big Cottonwood Canyon, Utah Territory",big Cotton wood Canyon,place
5936,"[[Big Cottonwood Canyon, Utah Territory|Big Cotton wood]]","Big Cottonwood Canyon, Utah Territory",Big Cotton wood,place
5938,"[[Provo, Utah County, Utah Territory|Provo]]","Provo, Utah County, Utah Territory",Provo,place
5950,"[[Fort Bridger, unorganized U.S. Territory|Fort Bridger]]","Fort Bridger, unorganized U.S. Territory",Fort Bridger,place
5952,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake,place
5964,"[[Green River, Sweetwater County, Wyoming Territory|Green River Country]]","Green River, Sweetwater County, Wyoming Territory",Green River Country,place
5975,"[[Parowan, Iron County, Utah Territory|Parawan]]","Parowan, Iron County, Utah Territory",Parawan,place
5978,"[[Nauvoo, Hancock County, Illinois|Nauvoo]]. President [[James Knox Polk|Polk]]","Nauvoo, Hancock County, Illinois",Nauvoo]]. President [[James Knox Po,place
5980,"[[Big Cottonwood Canyon, Utah Territory|canyon]]","Big Cottonwood Canyon, Utah Territory",canyon,place
5983,"[[Provo, Utah County, Utah Territory|Provo]]","Provo, Utah County, Utah Territory",Provo,place
5992,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|G. S. L. City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",G. S. L. City,place
6016,"[[John Taylor, b. 1808|J. Taylor]]","John Taylor, b. 1808",J. Taylor,place
6060,"[[Mill Creek, Great Salt Lake County, Utah Territory|Mill C[reek] ]]","Mill Creek, Great Salt Lake County, Utah Territory",Mill C[reek] ,place
6061,"[[Big Cottonwood Canyon, Utah Territory|Big Cotton wood Canyon]]","Big Cottonwood Canyon, Utah Territory",Big Cotton wood Canyon,place
6062,"[[John Taylor, b. 1808|J Taylor]]","John Taylor, b. 1808",J Taylor,place
6073,"[[Provo, Utah County, Utah Territory|provo]]","Provo, Utah County, Utah Territory",provo,place
6074,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|G. S. Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",G. S. Lake City,place
6076,"[[Washington, D.C., United States|Washing[ton] ]]","Washington, D.C., United States",Washing[ton] ,place
6082,"[[London, Middlesex, England|London]]","London, Middlesex, England",London,place
6089,"[[Fort Kearny, unorganized U.S. Territory|Carney]] & [[Fort Laramie, unorganized U.S. Territory|Laremie]]","Fort Kearny, unorganized U.S. Territory","Carney]] & [[Fort Laramie, unorganized U.S. Territo",place
6090,"[[Chimney Rock, Nebraska Territory|Chimnay rock]]","Chimney Rock, Nebraska Territory",Chimnay rock,place
6092,"[[Kirtland, Geauga County, Ohio|Kirtland]]. [[Martin Harris|Martin Harris]]","Kirtland, Geauga County, Ohio",Kirtland]]. [[Martin Harr,place
6096,"[[Provo, Utah County, Utah Territory|Provo]]","Provo, Utah County, Utah Territory",Provo,place
6119,"[[American Fork, Utah County, Utah Territory|American fork]]","American Fork, Utah County, Utah Territory",American fork,place
6122,"[[Provo, Utah County, Utah Territory|Provo]]","Provo, Utah County, Utah Territory",Provo,place
6124,"[[Provo, Utah County, Utah Territory|Provo]]","Provo, Utah County, Utah Territory",Provo,place
6126,"[[Fillmore, Millard County, Utah Territory|Filmore]]","Fillmore, Millard County, Utah Territory",Filmore,place
6127,"[[Carson Valley, Nevada|Carson valley]]","Carson Valley, Nevada",Carson valley,place
6128,"[[Provo, Utah County, Utah Territory|Provo]] at abut 4 oclok rode to the [[American Fork, Utah County, Utah Territory|American fork]]","Provo, Utah County, Utah Territory","Provo]] at abut 4 oclok rode to the [[American Fork, Utah County, Utah Territo",place
6129,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake,place
6136,"[[Provo, Utah County, Utah Territory|Provo]] to day. [[Barney Ward|Barney Ward]]","Provo, Utah County, Utah Territory",Provo]] to day. [[Barney Wa,place
6138,"[[Provo, Utah County, Utah Territory|Provo]] rode [to] [[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great S. L. City]]","Provo, Utah County, Utah Territory","Provo]] rode [to] [[Great Salt Lake City, Great Salt Lake County, Utah Territo",place
6140,"[[Beulah Thompson Woodruff, b. 1782|Bulah]]","Beulah Thompson Woodruff, b. 1782",Bulah,place
6145,"[[Provo, Utah County, Utah Territory|Provo]]. I left [[Robert Scholes|Robert]]","Provo, Utah County, Utah Territory",Provo]]. I left [[Robert Schol,place
6146,"[[Provo, Utah County, Utah Territory|Provo]]","Provo, Utah County, Utah Territory",Provo,place
6149,"[[Echo Canyon, Summit County, Utah Territory|Echo Canyon]]","Echo Canyon, Summit County, Utah Territory",Echo Canyon,place
6155,"[[London, Middlesex, England|London]]","London, Middlesex, England",London,place
6166,"[[Provo, Utah County, Utah Territory|Provo]]","Provo, Utah County, Utah Territory",Provo,place
6174,"[[Provo, Utah County, Utah Territory|Provo]]","Provo, Utah County, Utah Territory",Provo,place
6175,"[[Provo, Utah County, Utah Territory|Provo]]","Provo, Utah County, Utah Territory",Provo,place
6187,"[[Missouri River, United States|Mo river]]","Missouri River, United States",Mo river,place
6189,"[[Provo, Utah County, Utah Territory|Provo]]","Provo, Utah County, Utah Territory",Provo,place
6190,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
6191,"[[Provo, Utah County, Utah Territory|Provo]]","Provo, Utah County, Utah Territory",Provo,place
6194,"[[Provo, Utah County, Utah Territory|Provoo]]","Provo, Utah County, Utah Territory",Provoo,place
6195,"[[Provo, Utah County, Utah Territory|Provo]]","Provo, Utah County, Utah Territory",Provo,place
6197,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
6199,"[[Green River, Sweetwater County, Wyoming Territory|Green River]]","Green River, Sweetwater County, Wyoming Territory",Green River,place
6200,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]]. [[Jeter Clinton|Dr Clinton]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle]]. [[Jeter Clint,place
6204,"[[Provo, Utah County, Utah Territory|Provo]]","Provo, Utah County, Utah Territory",Provo,place
6206,"[[Provo, Utah County, Utah Territory|Provo]]","Provo, Utah County, Utah Territory",Provo,place
6207,"[[Provo, Utah County, Utah Territory|provo]]","Provo, Utah County, Utah Territory",provo,place
6208,"[[Provo, Utah County, Utah Territory|provo]]","Provo, Utah County, Utah Territory",provo,place
6209,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
6211,"[[Provo, Utah County, Utah Territory|Provo]]","Provo, Utah County, Utah Territory",Provo,place
6212,"[[Provo, Utah County, Utah Territory|Provo]] with 3 teams. I drove to [[Dry Creek Canyon, Utah County, Utah Territory|Dry Creek]]","Provo, Utah County, Utah Territory","Provo]] with 3 teams. I drove to [[Dry Creek Canyon, Utah County, Utah Territo",place
6213,"[[Provo, Utah County, Utah Territory|Provo]]","Provo, Utah County, Utah Territory",Provo,place
6214,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|G S Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",G S Lake City,place
6215,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt City,place
6216,"[[Provo, Utah County, Utah Territory|Provoo]] bench. [[Brigham Young|President Young]] and [[George Albert Smith|G A Smith]]","Provo, Utah County, Utah Territory",Provoo]] bench. [[Brigham You,place
6219,"[[Provo, Utah County, Utah Territory|provo]]","Provo, Utah County, Utah Territory",provo,place
6221,"[[Beaver, Beaver County, Utah Territory|Beaver]]","Beaver, Beaver County, Utah Territory",Beaver,place
6223,"[[Provo, Utah County, Utah Territory|provo]]","Provo, Utah County, Utah Territory",provo,place
6224,"[[Provo, Utah County, Utah Territory|Provo]]","Provo, Utah County, Utah Territory",Provo,place
6228,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
6233,"[[Rush Valley, Tooele County, Utah Territory|Rush valley]]","Rush Valley, Tooele County, Utah Territory",Rush valley,place
6236,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]]. Mr [[Alfred Cumming|A Cumings]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle]]. Mr [[Alfred Cummi,place
6240,"[[Provo, Utah County, Utah Territory|provo]]","Provo, Utah County, Utah Territory",provo,place
6243,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
6244,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|tabernacle]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",tabernacle,place
6247,"[[Provo, Utah County, Utah Territory|Provo]]","Provo, Utah County, Utah Territory",Provo,place
6248,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle,place
6251,"[[Rush Valley, Tooele County, Utah Territory|rush valley]]","Rush Valley, Tooele County, Utah Territory",rush valley,place
6253,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle,place
6260,"[[Provo, Utah County, Utah Territory|provo]]","Provo, Utah County, Utah Territory",provo,place
6261,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle,place
6263,"[[Provo, Utah County, Utah Territory|provo]]","Provo, Utah County, Utah Territory",provo,place
6265,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle,place
6267,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake,place
6272,"[[Rush Valley, Tooele County, Utah Territory|Rush valley]] to look up [[Wilford Woodruff Jr.|Wilford]]","Rush Valley, Tooele County, Utah Territory",Rush valley]] to look up [[Wilford Woodruff J,place
6273,"[[E. T. City, Tooele County, Utah Territory|E. T. City]]","E. T. City, Tooele County, Utah Territory",E. T. City,place
6274,"[[Rush Valley, Tooele County, Utah Territory|Rush valley]]","Rush Valley, Tooele County, Utah Territory",Rush valley,place
6279,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Salt Lake]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Salt Lake,place
6285,"[[Tooele, Tooele County, Utah Territory|Toillee]]","Tooele, Tooele County, Utah Territory",Toillee,place
6287,"[[Skull Valley, Tooele County, Utah Territory|Skul valley]]","Skull Valley, Tooele County, Utah Territory",Skul valley,place
6315,"[[John Taylor, b. 1808|John Taylor]] spoke followed By [[Edwin Dilworth Woolley|E. D. Woolley]]","John Taylor, b. 1808",John Taylor]] spoke followed By [[Edwin Dilworth Wooll,place
6316,"[[John Smith, b. 1781|John Smith]] prayed [[Erastus Snow|Erastus Snow]]","John Smith, b. 1781",John Smith]] prayed [[Erastus Sn,place
6318,"[[Fort Lemhi, Linn County, Oregon Territory|fort]]","Fort Lemhi, Linn County, Oregon Territory",fort,place
6320,"[[Salmon River, Idaho Territory|Salmon River]]","Salmon River, Idaho Territory",Salmon River,place
6328,"[[John Taylor, b. 1808|J. Taylor]] [[George Albert Smith|G. A. Smith]] [[Amasa Mason Lyman|A Lyman]] [[Charles Coulson Rich|C. C. Rich]] [[Erastus Snow|E Snow]] and [[Franklin Dewey Richards|F. D. Richards]]","John Taylor, b. 1808",J. Taylor]] [[George Albert Smi,place
6336,"[[John Taylor, b. 1808|Taylor]] [[Erastus Snow|E Snow]]","John Taylor, b. 1808",Taylor]] [[Erastus Sn,place
6347,"[[Fort Bridger, unorganized U.S. Territory|Bridger]]","Fort Bridger, unorganized U.S. Territory",Bridger,place
6355,"[[St. Louis, St. Louis County, Missouri|St Louis]]","St. Louis, St. Louis County, Missouri",St Louis,place
6356,"[[Salt Lake Valley, Utah Territory|Salt Lake]]","Salt Lake Valley, Utah Territory",Salt Lake,place
6358,"[[Salt Lake City, Salt Lake County, Utah Territory|salt Lake City]]","Salt Lake City, Salt Lake County, Utah Territory",salt Lake City,place
6363,"[[Washington, D.C., United States|Washington]]","Washington, D.C., United States",Washington,place
6364,"[[San Francisco, San Francisco County, California|Sanfrancisco]]","San Francisco, San Francisco County, California",Sanfrancisco,place
6380,"[[John Taylor, b. 1808|John Taylor]] & [[Orson Pratt|Orson Pratt]]","John Taylor, b. 1808",John Taylor]] & [[Orson Pra,place
6391,"[[Missouri River, United States|Missouri River]]","Missouri River, United States",Missouri River,place
